origin/claude/apps/android/contacts-list-friends	CONTENT_MERGED_PATCHID	PR_MERGED	#1434
origin/claude/apps/android/conversation-category-catalog	CONTENT_MERGED_PATCHID	PR_MERGED	#2359
origin/claude/apps/android/conversation-category-hydration	SUBJECT_LANDED_SQUASH	PR_MERGED	#2361
origin/claude/apps/android/conversation-category-picker	CONTENT_MERGED_PATCHID	PR_MERGED	#2331
origin/claude/apps/android/conversation-category-sections	CONTENT_MERGED_PATCHID	PR_MERGED	#2355
origin/claude/apps/android/conversation-category-socket-sync	CONTENT_MERGED_PATCHID	PR_MERGED	#2365
origin/claude/apps/android/conversation-drag-to-category	CONTENT_MERGED_PATCHID	PR_MERGED	#2373
origin/claude/apps/android/conversation-settings-form	CONTENT_MERGED_PATCHID	PR_MERGED	#2302
origin/claude/apps/android/conversation-tag-autocomplete	CONTENT_MERGED_PATCHID	PR_MERGED	#2327
origin/claude/apps/android/conversations-row-relative-time	CONTENT_MERGED_PATCHID	PR_MERGED	#1937
origin/claude/apps/android/delivery-status-resolver	CONTENT_MERGED_PATCHID	PR_MERGED	#1568
origin/claude/apps/android/discover-suggestions-cache-first	CONTENT_MERGED_PATCHID	PR_MERGED	#1451
origin/claude/apps/android/discover-suggestions-room-cache	CONTENT_MERGED_PATCHID	PR_MERGED	#1466
origin/claude/apps/android/discover-user-search	CONTENT_MERGED_PATCHID	PR_MERGED	#1443
origin/claude/apps/android/edit-profile-name-fields	CONTENT_MERGED_PATCHID	PR_MERGED	#1556
origin/claude/apps/android/edit-profile-optimistic	CONTENT_MERGED_PATCHID	PR_MERGED	#1500
origin/claude/apps/android/fcm-call-push-route	CONTENT_MERGED_PATCHID	PR_MERGED	#1354
origin/claude/apps/android/feed-adaptive-collage-layout	SUBJECT_LANDED_SQUASH	PR_MERGED	#2026
origin/claude/apps/android/feed-bookmarks-screen	SUBJECT_LANDED_SQUASH	PR_MERGED	#1995
origin/claude/apps/android/feed-comment-language-switcher	CONTENT_MERGED_PATCHID	PR_MERGED	#2023
origin/claude/apps/android/feed-comment-likes	CONTENT_MERGED_PATCHID	PR_MERGED	#2004
origin/claude/apps/android/feed-comment-live-reactions	CONTENT_MERGED_PATCHID	PR_MERGED	#2016
