branche	date	commits_avance	fichiers_code_en_conflit	zones	statut_pr	prs
origin/claude/laughing-thompson-30zik1	2026-07-19	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-57swpj	2026-07-17	1	2	apps/ios	NO_PR	-
origin/claude/laughing-thompson-5s0yg3	2026-07-21	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-65518x	2026-07-15	1	1	apps/ios	PR_CLOSED_UNMERGED	#1968
origin/claude/laughing-thompson-69z5aq	2026-07-19	1	2	apps/ios	NO_PR	-
origin/claude/laughing-thompson-755kz7	2026-07-20	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-7aib3t	2026-07-20	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-807l9l	2026-07-19	1	1	apps/ios	PR_CLOSED_UNMERGED	#2035
origin/claude/laughing-thompson-83jk3i	2026-07-20	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-8jgzit	2026-07-19	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-8w91gh	2026-07-20	2	1	apps/ios	PR_CLOSED_UNMERGED	#2156
origin/claude/laughing-thompson-943hzw	2026-07-17	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-ajrx2g	2026-07-20	2	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-bb8upc	2026-07-19	1	1	apps/ios	PR_MERGED	#2011,#2033
origin/claude/laughing-thompson-c1tt31	2026-07-16	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-c3cro9	2026-07-20	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-ctcq2i	2026-07-19	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-dgeuny	2026-07-20	1	2	apps/ios	PR_CLOSED_UNMERGED	#2195
origin/claude/laughing-thompson-dmjhc1	2026-07-20	1	2	apps/ios	PR_CLOSED_UNMERGED	#2200
origin/claude/laughing-thompson-ec3a6h	2026-07-21	2	1	apps/ios	PR_CLOSED_UNMERGED	#2199
origin/claude/laughing-thompson-ek97fy	2026-07-19	1	2	apps/ios	NO_PR	-
origin/claude/laughing-thompson-f7d2yn	2026-07-19	1	1	apps/ios	PR_MERGED	#1970,#2032
origin/claude/laughing-thompson-f9w07x	2026-07-20	1	2	apps/ios	PR_CLOSED_UNMERGED	#2189
origin/claude/laughing-thompson-g1kpsl	2026-07-20	1	1	apps/ios	PR_CLOSED_UNMERGED	#2179
origin/claude/laughing-thompson-g34a33	2026-07-20	1	1	apps/ios	PR_CLOSED_UNMERGED	#2147
origin/claude/laughing-thompson-g3s7uq	2026-07-21	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-gbl1zk	2026-07-21	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-h91l73	2026-07-21	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-i3yqn2	2026-07-19	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-i88vi9	2026-07-21	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-igofb1	2026-07-20	1	2	apps/ios	NO_PR	-
origin/claude/laughing-thompson-j1xn2r	2026-07-19	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-k6bl5v	2026-07-19	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-l19kam	2026-07-19	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-l5lf5l	2026-07-20	5	3	apps/ios	PR_MERGED	#2143
origin/claude/laughing-thompson-lbtam1	2026-07-20	4	1	apps/ios	PR_MERGED	#2167
origin/claude/laughing-thompson-lhas8y	2026-07-20	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-lknori	2026-07-19	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-n2i97z	2026-07-20	1	1	apps/ios	PR_MERGED	#2111,#2151,#2183
origin/claude/laughing-thompson-nan0ai	2026-07-20	5	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-o5glka	2026-07-19	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-o7l1vz	2026-07-21	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-p6x4jf	2026-07-20	3	2	apps/ios	PR_CLOSED_UNMERGED	#2152
origin/claude/laughing-thompson-qbmffi	2026-07-17	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-qf8epo	2026-07-19	1	1	apps/ios	PR_CLOSED_UNMERGED	#2053
origin/claude/laughing-thompson-r5zuas	2026-07-18	1	1	apps/ios	PR_CLOSED_UNMERGED	#2024
origin/claude/laughing-thompson-s0ezup	2026-07-20	3	3	apps/ios	PR_CLOSED_UNMERGED	#2158
origin/claude/laughing-thompson-smdrpy	2026-07-19	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-tkzout	2026-07-19	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-utlroe	2026-07-20	1	1	apps/ios	PR_CLOSED_UNMERGED	#2186
origin/claude/laughing-thompson-v7t8ey	2026-07-19	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-vgt9db	2026-07-17	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-vj02xz	2026-07-20	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-wkcpvr	2026-07-21	1	1	apps/ios	PR_MERGED	#2192
origin/claude/laughing-thompson-wnkqrl	2026-07-20	2	1	apps/ios	PR_CLOSED_UNMERGED	#2056
origin/claude/laughing-thompson-x2cpu9	2026-07-21	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-xek3tw	2026-07-19	1	1	apps/ios	PR_CLOSED_UNMERGED	#2036
origin/claude/laughing-thompson-yagq11	2026-07-16	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-ybp86o	2026-07-19	1	2	apps/ios	NO_PR	-
origin/claude/laughing-thompson-yine8p	2026-07-19	1	1	apps/ios	NO_PR	-
origin/claude/laughing-thompson-zpdg1j	2026-07-20	1	1	apps/ios	NO_PR	-
origin/claude/loving-fermat-1pn6ko	2026-07-07	2	3	services/gateway	PR_CLOSED_UNMERGED	#1596
origin/claude/loving-fermat-4kaqz0	2026-07-11	7	2	packages/shared,services/gateway	PR_MERGED	#1869
origin/claude/loving-fermat-71xm6p	2026-07-07	3	3	services/gateway	PR_CLOSED_UNMERGED	#1585
origin/claude/loving-fermat-ha70m0	2026-07-10	2	1	services/gateway	PR_MERGED	#1803
